province_id,centroid_x,centroid_y,pixel_count,biome,coastal
1,3079.4,321.4,1075,Temperate Broadleaf & Mixed Forests,1
2,3050.2,349.3,652,Temperate Broadleaf & Mixed Forests,1
3,3051.7,372.5,892,Temperate Broadleaf & Mixed Forests,1
4,3048.8,310.4,1024,Boreal Forests/Taiga,1
5,3011.5,316.7,845,Temperate Broadleaf & Mixed Forests,1
6,3012.2,406.0,273,Temperate Broadleaf & Mixed Forests,1
7,3016.9,350.0,403,Temperate Broadleaf & Mixed Forests,1
8,3025.0,287.2,1283,Boreal Forests/Taiga,0
9,3068.3,255.5,3004,Boreal Forests/Taiga,1
10,3024.5,237.3,3536,Boreal Forests/Taiga,1
11,3136.2,179.8,3415,Boreal Forests/Taiga,1
12,2991.4,412.9,362,Temperate Broadleaf & Mixed Forests,1
13,2950.1,426.8,383,Temperate Broadleaf & Mixed Forests,1
14,2968.8,418.1,212,Temperate Broadleaf & Mixed Forests,1
15,2939.6,404.1,323,Temperate Broadleaf & Mixed Forests,1
16,2987.8,349.7,267,Boreal Forests/Taiga,1
17,2963.0,302.2,1254,Boreal Forests/Taiga,1
18,3077.8,183.5,3628,Boreal Forests/Taiga,1
19,3185.1,224.0,3496,Boreal Forests/Taiga,1
20,2987.0,214.0,2658,Tundra,1
21,3055.6,120.5,4152,Tundra,1
22,2982.4,275.0,2060,Boreal Forests/Taiga,0
23,2901.4,289.0,1432,Temperate Conifer Forests,1
24,2902.5,335.0,502,Boreal Forests/Taiga,1
25,3095.3,370.2,268,Boreal Forests/Taiga,1
26,3005.5,381.8,266,Boreal Forests/Taiga,1
27,3153.3,285.5,1025,Boreal Forests/Taiga,1
28,3204.4,298.7,1094,Boreal Forests/Taiga,1
29,3201.7,264.0,1586,Boreal Forests/Taiga,1
30,3255.2,293.4,641,Boreal Forests/Taiga,1
31,3236.2,249.0,2122,Boreal Forests/Taiga,1
32,3287.6,267.3,1675,Boreal Forests/Taiga,1
33,3279.6,315.6,591,Boreal Forests/Taiga,1
34,3259.3,328.9,677,Boreal Forests/Taiga,1
35,3157.6,346.2,256,Boreal Forests/Taiga,1
36,3193.9,334.2,877,Temperate Broadleaf & Mixed Forests,1
37,3200.4,359.6,902,Temperate Broadleaf & Mixed Forests,1
38,3189.1,381.3,173,Temperate Broadleaf & Mixed Forests,1
39,3148.1,381.3,643,Temperate Broadleaf & Mixed Forests,1
40,3146.6,419.2,391,Temperate Broadleaf & Mixed Forests,1
41,3132.3,432.0,449,Temperate Broadleaf & Mixed Forests,1
42,3124.9,445.7,266,Temperate Broadleaf & Mixed Forests,1
43,3093.8,437.5,280,Temperate Broadleaf & Mixed Forests,1
44,2958.3,454.4,77,Temperate Broadleaf & Mixed Forests,1
45,2971.9,447.7,78,Temperate Broadleaf & Mixed Forests,1
