province_id,province_name,longitude,latitude,biome_id,biome_name,red,green,blue,assignment_method,source_url
1,Stockholm,16.83938,59.04772,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
2,Östergötland,14.97101,57.99978,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
3,Småland,15.06767,57.10646,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
4,Bergslagen,14.88073,59.45231,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
5,Värmland,12.49513,59.22223,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
6,Skåne,12.54410,55.77047,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
7,Västergötland,12.84246,57.97338,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
8,Dalaskogen,13.35923,60.29101,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
9,Hälsingland,16.12921,61.40382,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
10,Jämtland,13.32854,62.02483,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
11,Västerbotten,20.47055,63.90274,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
12,Sjælland,11.21239,55.49353,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
13,Slesvig,8.57185,54.92137,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
14,Fyn,9.76656,55.27765,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
15,Midtjylland,7.90318,55.85090,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
16,Bohuslän,10.97995,57.98418,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
17,Akershus,9.39462,59.75290,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
18,Umeå,16.73264,63.78730,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
19,Österbotten,23.59034,62.47024,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
20,Trøndelag,10.92859,62.79839,16,Tundra,132,139,112,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
21,Hålogaland,15.31628,65.71826,16,Tundra,132,139,112,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
22,Oplandene,10.63596,60.72247,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
23,Bergenshus,5.45641,60.22743,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
24,Stavanger,5.53039,58.54177,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
25,Gotland,17.85241,57.19387,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
26,Halland,12.11196,56.74062,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
27,Finland,21.56339,60.35344,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
28,Nyland,24.82369,59.87784,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
29,Tavastland,24.65262,61.10939,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
30,Viborg,28.07165,60.07064,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
31,Savolax,26.86024,61.62544,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
32,Kexholm,30.14676,60.99277,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
33,Neva,29.63173,59.26426,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
