province_id,province_name,history_file,definition_status,current_owner,tribal_owner,dated_1444_owner,dated_owner_date,proposed_owner,country_name,category,status,confidence,authority_type,culture,religion,native_size,longitude,latitude,land_luma_ratio,source_url,source_note,reviewer,review_date
1,Stockholm,1-Uppland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,16.83938,59.04770,0.000000,,Existing top-level owner in the imported province history.,,
2,�sterg�tland,2-Ostergotland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,14.97101,57.99977,0.000000,,Existing top-level owner in the imported province history.,,
3,Sm�land,3 - Kalmar.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,15.06767,57.10646,0.000000,,Existing top-level owner in the imported province history.,,
4,Bergslagen,4-Bergslagen.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,14.88073,59.45233,0.000000,,Existing top-level owner in the imported province history.,,
5,V�rmland,5-Varmland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,12.49513,59.22225,0.000000,,Existing top-level owner in the imported province history.,,
6,Sk�ne,6-Skane.txt,x,DAN,,,,DAN,Denmark,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,12.54410,55.77049,0.000000,,Existing top-level owner in the imported province history.,,
7,V�sterg�tland,7 - Skaraborg.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,12.84246,57.97336,0.000000,,Existing top-level owner in the imported province history.,,
8,Dalaskogen,8-Dalaskogen.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,13.35923,60.29100,0.000000,,Existing top-level owner in the imported province history.,,
9,H�lsingland,9-Halsingland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,16.12921,61.40383,0.000000,,Existing top-level owner in the imported province history.,,
10,J�mtland,10-Jamtland.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,13.32854,62.02481,0.000000,,Existing top-level owner in the imported province history.,,
11,V�sterbotten,11-Vasterbotten.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,20.47055,63.90273,0.000000,,Existing top-level owner in the imported province history.,,
12,Sj�lland,12-Sjaelland.txt,x,DAN,,,,DAN,Denmark,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,11.21239,55.49355,0.000000,,Existing top-level owner in the imported province history.,,
13,Slesvig,13-Slesvig.txt,x,SHL,,,,SHL,Holstein,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,8.57185,54.92137,0.000000,,Existing top-level owner in the imported province history.,,
14,Fyn,14-Fyn.txt,x,DAN,,,,DAN,Denmark,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,9.76656,55.27764,0.000000,,Existing top-level owner in the imported province history.,,
