province_id,province_name,pixel_count,centroid_x,centroid_y,longitude,latitude,mean_red,mean_green,mean_blue,luma_80_ratio,luma_100_ratio,luma_120_ratio
1,Stockholm,1075,3079.443,321.434,16.83938,59.04770,15.551,97.668,200.948,0.900465,0.000000,0.000000
2,Östergötland,652,3050.213,349.325,14.97101,57.99977,16.000,104.337,206.638,0.970859,0.000000,0.000000
3,Småland,892,3051.725,372.463,15.06767,57.10646,16.000,105.154,204.952,0.931614,0.000000,0.000000
4,Bergslagen,1024,3048.801,310.438,14.88073,59.45233,15.543,99.485,209.827,0.986328,0.000000,0.000000
5,Värmland,845,3011.479,316.707,12.49513,59.22225,14.794,97.658,210.337,0.959763,0.000000,0.000000
6,Skåne,273,3012.245,406.048,12.54410,55.77049,15.795,89.582,202.099,0.556777,0.000000,0.000000
7,Västergötland,403,3016.913,350.017,12.84246,57.97336,15.797,95.496,203.538,0.880893,0.000000,0.000000
8,Dalaskogen,1283,3024.998,287.218,13.35923,60.29100,14.143,98.812,216.542,1.000000,0.000000,0.000000
9,Hälsingland,3004,3068.333,255.471,16.12921,61.40383,14.542,97.120,211.190,0.949401,0.000000,0.000000
10,Jämtland,3536,3024.518,237.260,13.32854,62.02481,14.504,101.139,215.764,0.995192,0.000000,0.000000
11,Västerbotten,3415,3136.250,179.830,20.47055,63.90273,15.300,102.800,209.532,0.967789,0.000000,0.000000
12,Sjælland,362,2991.412,412.865,11.21239,55.49355,13.834,73.644,192.080,0.000000,0.000000,0.000000
13,Slesvig,383,2950.102,426.799,8.57185,54.92137,8.854,65.836,189.316,0.000000,0.000000,0.000000
14,Fyn,212,2968.792,418.146,9.76656,55.27764,8.170,65.401,182.906,0.000000,0.000000,0.000000
15,Midtjylland,323,2939.641,404.059,7.90318,55.85091,8.019,64.536,189.929,0.000000,0.000000,0.000000
16,Bohuslän,267,2987.775,349.734,10.97995,57.98417,13.161,79.112,202.775,0.000000,0.000000,0.000000
17,Akershus,1254,2962.974,302.183,9.39462,59.75292,14.912,91.103,212.941,0.785486,0.000000,0.000000
18,Umeå,3628,3077.773,183.469,16.73264,63.78729,14.921,100.391,215.667,0.993936,0.000000,0.000000
19,Österbotten,3496,3185.058,223.968,23.59034,62.47025,14.468,94.857,206.435,0.799485,0.000000,0.000000
20,Trøndelag,2658,2986.972,214.048,10.92859,62.79839,15.029,95.053,209.666,0.834838,0.000000,0.000000
21,Hålogaland,4152,3055.615,120.531,15.31628,65.71826,12.180,77.862,204.618,0.171002,0.000000,0.000000
22,Oplandene,2060,2982.394,275.040,10.63596,60.72247,15.077,101.129,215.505,1.000000,0.000000,0.000000
23,Bergenshus,1432,2901.362,288.999,5.45641,60.22744,12.506,73.478,203.548,0.000000,0.000000,0.000000
24,Stavanger,502,2902.520,335.004,5.53039,58.54177,8.791,66.231,193.106,0.000000,0.000000,0.000000
25,Gotland,268,3095.291,370.224,17.85241,57.19387,15.963,101.929,196.000,0.899254,0.000000,0.000000
26,Halland,266,3005.485,381.778,12.11196,56.74061,15.320,86.947,203.744,0.413534,0.000000,0.000000
27,Finland,1025,3153.347,285.466,21.56339,60.35342,15.206,100.972,204.240,0.955122,0.000000,0.000000
28,Nyland,1094,3204.353,298.730,24.82369,59.87783,14.952,98.374,203.965,0.927788,0.000000,0.000000
29,Tavastland,1586,3201.677,263.979,24.65262,61.10938,15.115,99.316,204.757,0.927491,0.000000,0.000000
30,Viborg,641,3255.165,293.376,28.07165,60.07064,15.062,97.287,204.498,0.946958,0.000000,0.000000
31,Savolax,2122,3236.213,249.014,26.86024,61.62544,15.178,95.295,203.039,0.888313,0.000000,0.000000
32,Kexholm,1675,3287.629,267.327,30.14676,60.99279,14.577,89.598,204.973,0.478209,0.000000,0.000000
33,Neva,591,3279.572,315.565,29.63173,59.26426,15.213,100.440,203.912,0.956007,0.000000,0.000000
34,Ingermanland,677,3259.321,328.866,28.33725,58.77155,15.233,103.381,205.771,0.988183,0.000000,0.000000
35,Ösel,256,3157.566,346.203,21.83308,58.11863,15.785,97.199,196.504,0.828125,0.000000,0.000000
36,Estland,877,3193.892,334.194,24.15501,58.57218,15.434,100.762,204.669,0.966933,0.000000,0.000000
37,Livland,902,3200.412,359.571,24.57182,57.60690,15.365,104.217,206.111,0.986696,0.000000,0.000000
38,Riga,173,3189.133,381.312,23.85083,56.75900,14.717,101.855,204.994,0.988439,0.000000,0.000000
39,Kurland,643,3148.068,381.285,21.22596,56.76009,15.582,105.062,204.212,0.973561,0.000000,0.000000
40,Memel,391,3146.621,419.220,21.13348,55.23360,14.624,108.138,205.043,0.997442,0.000000,0.000000
41,Ostpreussen,449,3132.310,432.000,20.21865,54.70569,15.339,108.873,203.392,0.971047,0.000000,0.000000
42,Warmia,266,3124.868,445.711,19.74301,54.13159,14.748,114.316,207.192,1.000000,0.000000,0.000000
43,Danzig,280,3093.782,437.461,17.75596,54.47800,15.993,112.886,202.918,0.942857,0.000000,0.000000
44,Hamburg,77,2958.273,454.416,9.09414,53.76291,9.208,70.701,201.558,0.000000,0.000000,0.000000
45,Lübeck,78,2971.897,447.667,9.96503,54.04903,10.192,69.731,201.731,0.000000,0.000000,0.000000
46,Mecklenburg,201,2997.378,449.433,11.59377,53.97434,13.642,80.985,203.990,0.014925,0.000000,0.000000
47,Stralsund,119,3006.824,443.563,12.19753,54.22205,14.336,85.580,201.891,0.445378,0.000000,0.000000
48,Kolberg,209,3046.330,446.962,14.72281,54.07880,15.981,110.584,204.493,0.966507,0.000000,0.000000
49,Neumark,272,3044.195,467.386,14.58632,53.20751,16.000,113.603,206.000,1.000000,0.000000,0.000000
50,Berlin,191,3021.220,474.162,13.11775,52.91445,15.131,105.251,206.000,1.000000,0.000000,0.000000
51,Ruppin,149,3006.752,468.128,12.19293,53.17554,14.859,94.544,206.000,0.919463,0.000000,0.000000
52,Magdeburg,199,2990.327,483.070,11.14304,52.52615,13.106,89.126,207.045,0.371859,0.000000,0.000000
53,Lüneburg,215,2968.544,467.377,9.75069,53.20791,11.893,75.028,206.000,0.000000,0.000000,0.000000
54,Bremen,137,2947.029,456.745,8.37545,53.66372,8.766,69.255,196.686,0.000000,0.000000,0.000000
55,Oldenburg,178,2931.624,462.056,7.39071,53.43661,10.258,69.775,199.056,0.000000,0.000000,0.000000
56,Osnabrück,120,2926.733,480.883,7.07813,52.62180,13.050,76.517,206.550,0.000000,0.000000,0.000000
57,Hannover,250,2964.744,488.956,9.50778,52.26770,13.516,82.668,212.912,0.096000,0.000000,0.000000
58,Anhalt,119,2994.034,492.017,11.37999,52.13270,15.286,95.588,207.168,0.941176,0.000000,0.000000
59,Meissen,207,3008.903,494.101,12.33047,52.04052,15.681,108.101,206.391,1.000000,0.000000,0.000000
60,Lausitz,153,3032.092,502.961,13.81267,51.64663,16.000,125.118,212.281,1.000000,0.784314,0.000000
61,Dresden,213,3019.366,504.272,12.99926,51.58802,16.000,120.887,210.451,1.000000,0.370892,0.000000
62,Leipzig,177,2991.955,502.441,11.24711,51.66985,15.192,101.497,210.384,1.000000,0.000000,0.000000
63,Erfurt,205,2974.029,509.224,10.10130,51.36606,15.707,95.278,214.015,1.000000,0.000000,0.000000
64,Niederbayern,181,3001.790,559.751,11.87578,49.03927,16.000,130.707,216.928,1.000000,1.000000,0.000000
65,München,192,2984.240,571.688,10.75395,48.47298,16.000,124.797,214.490,1.000000,0.739583,0.000000
66,Bamberg,148,2978.453,530.919,10.38405,50.38091,16.000,112.622,214.399,1.000000,0.000000,0.000000
67,Franken,93,2983.656,540.527,10.71664,49.93795,16.000,119.720,216.118,1.000000,0.268817,0.000000
68,Memmingen,84,2961.524,570.798,9.30195,48.51542,16.000,121.833,215.167,1.000000,0.416667,0.000000
69,Konstanz,80,2919.688,496.712,6.62775,51.92479,12.550,84.075,207.650,0.100000,0.000000,0.000000
70,Württemberg,254,2951.921,554.579,8.68815,49.28270,16.000,113.850,216.626,1.000000,0.000000,0.000000
71,Leiningen,211,2971.417,542.739,9.93433,49.83536,16.000,114.896,214.573,1.000000,0.052133,0.000000
72,Breisgau,175,2932.674,572.183,7.45787,48.44934,16.000,116.166,215.469,1.000000,0.000000,0.000000
73,Tirol,191,2977.068,583.775,10.29554,47.89301,16.000,124.414,215.084,1.000000,0.806283,0.000000
74,Baden,142,2932.063,561.866,7.41882,48.93940,16.000,110.535,214.514,1.000000,0.000000,0.000000
75,Elsass,171,2922.801,554.404,6.82678,49.29092,16.000,107.053,213.152,1.000000,0.000000,0.000000
76,Salzburg,232,3007.823,576.263,12.26143,48.25422,16.000,133.009,215.060,1.000000,1.000000,0.000000
77,Worms,156,2944.500,543.128,8.21378,49.81731,16.000,104.667,211.962,1.000000,0.000000,0.000000
78,Pfalz,92,2936.087,530.870,7.67601,50.38318,12.467,97.467,212.326,1.000000,0.000000,0.000000
79,Würzburg,173,2963.682,530.451,9.43991,50.40239,15.514,103.532,215.029,1.000000,0.000000,0.000000
80,Trier,205,2911.532,533.395,6.10643,50.26714,14.332,101.127,216.068,1.000000,0.000000,0.000000
81,Hessen,260,2944.396,515.338,8.20714,51.09053,14.542,92.950,214.685,0.903846,0.000000,0.000000
82,Lippe,188,2934.633,505.181,7.58307,51.54738,13.324,88.521,216.441,0.468085,0.000000,0.000000
83,Nassau,210,2928.100,517.224,7.16548,51.00523,15.529,95.000,214.229,0.976190,0.000000,0.000000
84,Berg,155,2919.387,505.245,6.60855,51.54450,13.587,89.381,209.865,0.606452,0.000000,0.000000
85,Köln,101,2911.139,509.505,6.08130,51.35346,13.406,91.129,209.317,0.544554,0.000000,0.000000
86,Münster,231,2923.745,491.325,6.88708,52.16326,12.857,81.091,207.749,0.000000,0.000000,0.000000
87,Calais,90,2836.011,514.200,1.27912,51.14196,13.811,88.167,200.833,0.177778,0.000000,0.000000
88,Artois,203,2845.591,523.916,1.89148,50.70118,14.828,93.300,206.621,0.985222,0.000000,0.000000
89,Picardie,229,2835.694,529.865,1.25887,50.42927,15.721,98.087,206.459,0.986900,0.000000,0.000000
90,Vlaanderen,147,2850.020,509.735,2.17460,51.34313,14.354,83.429,204.374,0.054422,0.000000,0.000000
91,Hainault,168,2867.202,522.000,3.27288,50.78844,14.006,92.250,209.131,0.785714,0.000000,0.000000
92,Brabant,111,2876.865,514.423,3.89051,51.13187,12.757,88.649,209.090,0.171171,0.000000,0.000000
93,Liège,237,2891.819,524.262,4.84636,50.68544,14.059,96.274,215.743,1.000000,0.000000,0.000000
94,Luxemburg,274,2897.690,536.653,5.22165,50.11703,14.153,101.529,215.661,1.000000,0.000000,0.000000
95,Noord,112,2886.089,498.795,4.48014,51.83228,13.134,83.000,205.598,0.000000,0.000000,0.000000
96,Zeeland,82,2869.598,498.012,3.42598,51.86707,12.451,76.390,193.659,0.000000,0.000000,0.000000
97,Holland,124,2881.758,476.194,4.20329,52.82621,8.000,69.927,187.790,0.000000,0.000000,0.000000
98,Utrecht,84,2887.988,487.702,4.60151,52.32288,9.786,77.500,201.595,0.000000,0.000000,0.000000
99,Gelre,144,2900.306,486.458,5.38885,52.37756,12.542,77.785,203.319,0.000000,0.000000,0.000000
100,Friesland,155,2897.406,465.574,5.20354,53.28553,9.665,68.755,195.774,0.000000,0.000000,0.000000
101,Liguria,132,2948.788,638.114,8.48786,45.20442,19.136,133.250,209.008,1.000000,0.962121,0.000000
102,Nice,120,2917.825,648.917,6.50870,44.65402,17.625,137.467,211.700,0.991667,0.950000,0.000000
103,Niklas,178,2922.876,620.152,6.83159,46.10789,19.910,132.910,216.270,1.000000,1.000000,0.000000
104,Lombardia,131,2946.885,615.443,8.36626,46.34233,18.565,130.214,212.008,1.000000,1.000000,0.000000
105,Parma,216,2959.264,634.125,9.15749,45.40630,20.458,134.940,213.190,1.000000,1.000000,0.000000
106,Modena,152,2972.750,637.395,10.01953,45.24086,18.507,131.105,212.309,1.000000,1.000000,0.000000
107,Brescia,129,2967.628,609.961,9.69212,46.61398,20.093,129.992,215.775,1.000000,1.000000,0.000000
108,Verona,146,2975.479,615.459,10.19400,46.34153,19.411,129.322,213.377,1.000000,1.000000,0.000000
109,Mantua,154,2969.474,625.084,9.81013,45.86123,19.312,127.870,206.994,1.000000,1.000000,0.000000
110,Trent,134,2980.410,602.858,10.50919,46.96397,17.948,127.821,215.813,1.000000,1.000000,0.000000
111,Friuli,204,3006.088,605.765,12.15053,46.82103,16.000,125.250,209.828,0.990196,0.627451,0.000000
112,Venezia,55,2995.855,618.436,11.49638,46.19341,16.000,110.818,193.127,0.818182,0.000000,0.000000
113,Ferrara,166,2990.488,630.187,11.15335,45.60493,16.777,120.102,202.145,0.957831,0.530120,0.000000
114,Romagna,112,2993.152,641.991,11.32362,45.00748,16.375,119.491,206.027,0.982143,0.285714,0.000000
115,Pisa,99,2971.646,661.879,9.94899,43.98665,16.303,122.465,201.374,0.949495,0.535354,0.000000
116,Firenze,161,2979.783,652.404,10.46906,44.47523,19.988,130.342,214.205,1.000000,1.000000,0.000000
117,Siena,237,2983.139,669.869,10.68362,43.57147,19.886,130.802,209.616,1.000000,0.962025,0.000000
118,Roma,220,2997.032,683.823,11.57164,42.83955,17.432,133.605,208.959,1.000000,0.995455,0.000000
119,Ancona,247,3012.830,662.300,12.58146,43.96486,16.061,126.538,208.036,0.971660,0.825911,0.000000
120,Abbruzzi,218,3021.220,679.826,13.11777,43.05011,16.193,139.743,211.881,0.995413,0.931193,0.000000
121,Napoli,191,3028.634,701.382,13.59163,41.90601,16.000,148.293,209.476,1.000000,0.984293,0.130890
122,Apulia,224,3082.848,715.813,17.05706,41.12847,16.000,152.000,205.830,0.986607,0.924107,0.482143
123,Calabria,239,3060.088,749.059,15.60221,39.30164,16.000,142.665,205.900,0.966527,0.899582,0.196653
124,Messina,197,3037.371,764.046,14.15011,38.46208,18.482,136.431,208.797,0.984772,0.842640,0.000000
125,Palermo,156,3018.532,763.545,12.94594,38.49029,17.462,135.538,209.942,0.980769,0.916667,0.000000
126,Malta,30,3029.967,798.333,13.67685,36.50424,16.000,121.933,196.833,0.933333,0.566667,0.000000
127,Sardinia,305,2947.341,710.285,8.39538,41.42740,16.000,141.931,208.570,0.977049,0.911475,0.098361
128,Kärnten,172,3031.262,594.529,13.75962,47.37148,16.000,135.267,216.570,1.000000,1.000000,0.000000
129,Krain,240,3032.917,608.658,13.86541,46.67835,16.000,135.979,216.858,1.000000,1.000000,0.000000
130,Istria,161,3025.155,625.335,13.36930,45.84865,16.000,120.764,203.832,0.931677,0.484472,0.000000
131,Croatia,321,3055.660,616.685,15.31920,46.28057,16.000,141.075,211.907,1.000000,1.000000,0.000000
132,Steiermark,303,3031.657,580.086,13.78488,48.07071,16.000,135.442,216.502,1.000000,1.000000,0.000000
133,Linz,324,3034.929,557.130,13.99404,49.16280,16.000,133.932,216.432,1.000000,1.000000,0.000000
134,Wien,268,3061.720,566.586,15.70654,48.71580,16.000,135.642,211.918,1.000000,1.000000,0.000000
135,Sopron,507,3068.905,583.122,16.16582,47.92449,16.000,137.667,211.209,1.000000,0.982249,0.000000
136,Dalmatia,266,3062.647,658.380,15.76576,44.16755,16.000,140.203,208.109,0.984962,0.894737,0.033835
137,Ragusa,157,3083.968,670.841,17.12865,43.52080,16.000,146.643,209.675,0.987261,0.917197,0.242038
138,Zeta,273,3112.190,672.806,18.93263,43.41816,16.604,157.982,214.582,1.000000,1.000000,0.992674
139,Hum,353,3078.244,652.555,16.76273,44.46745,16.025,154.759,213.881,1.000000,1.000000,0.410765
140,Bosnia,373,3086.686,632.279,17.30239,45.49950,17.134,147.582,214.260,1.000000,1.000000,0.000000
141,Serbia,281,3128.762,643.377,19.99186,44.93690,18.520,149.772,214.534,1.000000,1.000000,0.074733
142,Corfu,68,3114.618,732.044,19.08778,40.24272,16.000,154.015,209.000,1.000000,0.985294,0.735294
143,Albania,237,3121.793,716.249,19.54644,41.10480,16.000,167.481,213.059,1.000000,1.000000,0.928270
144,Janina,275,3129.171,730.451,20.01803,40.33018,16.000,171.415,213.615,1.000000,1.000000,0.996364
145,Morea,251,3157.892,778.478,21.85392,37.64424,15.960,174.466,211.024,1.000000,0.948207,0.872510
146,Athens,255,3168.945,755.824,22.56041,38.92390,16.000,168.090,208.396,1.000000,0.984314,0.796078
147,Salonica,483,3154.333,732.569,21.62642,40.21386,16.000,167.586,211.174,0.993789,0.968944,0.875776
148,Macedonia,300,3170.770,712.660,22.67706,41.29913,16.000,153.330,208.567,0.983333,0.930000,0.740000
149,Edirne,417,3222.624,691.626,25.99156,42.42641,16.000,156.607,210.707,1.000000,1.000000,0.616307
150,Bulgaria,711,3186.391,662.487,23.67556,43.95517,16.557,154.540,214.041,1.000000,1.000000,0.554149
151,Constantinople,272,3243.474,697.875,27.32435,42.09358,16.000,151.202,206.625,0.988971,0.897059,0.397059
152,Slavonia,244,3060.066,600.570,15.60078,47.07625,16.000,139.762,213.832,1.000000,1.000000,0.000000
153,Pecs,688,3108.176,581.041,18.67601,48.02477,16.000,134.205,208.299,1.000000,1.000000,0.000000
154,Ersekujvar,312,3098.186,558.096,18.03745,49.11730,16.000,133.766,212.606,1.000000,1.000000,0.000000
155,Szolnok,600,3137.023,595.495,20.51996,47.32438,16.000,137.568,208.983,1.000000,1.000000,0.000000
156,Banat,466,3150.697,618.185,21.39401,46.20595,16.270,146.043,213.747,1.000000,1.000000,0.000000
157,Partium,569,3163.204,579.868,22.19343,48.08117,16.000,136.218,214.547,1.000000,1.000000,0.000000
158,Transylvania,498,3203.592,598.482,24.77508,47.17847,16.000,139.373,216.502,1.000000,1.000000,0.000000
