province_id,assigned_tag,status,confidence,authority_type,source_url,source_note,reviewer,review_date
18,SWE,approved,source_explicit,state_or_polity,,Promoted from the imported 1440.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
49,TEU,approved,source_explicit,state_or_polity,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
61,SAX,approved,source_explicit,state_or_polity,,Promoted from the imported 1423.1.6 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
89,BUR,approved,source_explicit,state_or_polity,,Promoted from the imported 1435.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
107,VEN,approved,source_explicit,state_or_polity,,Promoted from the imported 1428.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
108,VEN,approved,source_explicit,state_or_polity,,Promoted from the imported 1405.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
111,VEN,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
115,LAN,approved,source_explicit,state_or_polity,,Promoted from the imported 1405.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
124,ARA,approved,source_explicit,state_or_polity,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
125,ARA,approved,source_explicit,state_or_polity,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
126,ARA,approved,source_explicit,state_or_polity,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
127,ARA,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
136,VEN,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
138,SER,approved,source_explicit,state_or_polity,,Promoted from the imported 1421.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
144,TUR,approved,source_explicit,state_or_polity,,Promoted from the imported 1430.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
146,ATH,approved,source_explicit,state_or_polity,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
167,ENG,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.5.12 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
168,ENG,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.5.12 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
175,AMG,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
176,FOI,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
179,FRA,approved,source_explicit,state_or_polity,,Promoted from the imported 1416.3.15 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
182,ORL,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
184,ORL,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
187,PRO,approved,source_explicit,state_or_polity,,Promoted from the imported 1430.6.26 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
190,BOU,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
198,AMG,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
199,AUV,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
202,PAP,approved,source_explicit,state_or_polity,,Promoted from the imported 1417.10.18 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
282,LIT,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
283,LIT,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
291,LIT,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
293,LIT,approved,source_explicit,state_or_polity,,Promoted from the imported 1404.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
344,MRK,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
345,MRK,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
346,TFL,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
347,SOS,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
348,SOS,approved,source_explicit,state_or_polity,,Promoted from the imported 1444.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
366,CAS,approved,source_explicit,state_or_polity,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
367,POR,approved,source_explicit,state_or_polity,,Promoted from the imported 1427.11.29 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
368,POR,approved,source_explicit,state_or_polity,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
407,AKK,approved,source_explicit,state_or_polity,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
414,QOM,approved,source_explicit,state_or_polity,,Promoted from the imported 1442.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
415,QAR,approved,source_explicit,state_or_polity,,Promoted from the imported 1405.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
419,QAR,approved,source_explicit,state_or_polity,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
